"URBAN REDEVELOPMENT AUTHORITY - PRIVATE RESIDENTIAL PROPERTY TRANSACTIONS WITH CAVEATS LODGED OR OPTIONS ISSUED"

"S/N","Project Name","Street Name","Type","Postal District","Market Segment","Tenure","Type of Sale","No. of Units","Price ($)","Nett Price ($)","Area (Sqm)","Type of Area","Floor Level","Unit Price ($psm)","Date of Sale"
"1","SKYLINE RESIDENCES","TELOK BLANGAH ROAD","Condominium","04","RCR","Freehold","Resale","1","970000","-","45","Strata","21 to 25","21556","Jul-2016"
"2","THE INTERLACE","DEPOT ROAD","Condominium","04","RCR","99 yrs lease commencing from 2009","Resale","1","2245000","-","191","Strata","01 to 05","11754","Jul-2016"
"3","CLEMENTIWOODS CONDOMINIUM","WEST COAST ROAD","Condominium","05","OCR","99 yrs lease commencing from 2006","Resale","1","1130000","-","98","Strata","01 to 05","11531","Jul-2016"
"4","THE TRILINQ","JALAN LEMPENG","Condominium","05","OCR","99 years leasehold","New Sale","1","831000","-","50","Strata","21 to 25","16620","Jul-2016"
"5","THE TRILINQ","JALAN LEMPENG","Condominium","05","OCR","99 years leasehold","New Sale","1","1294000","-","85","Strata","16 to 20","15224","Jul-2016"
"6","THE TRILINQ","JALAN LEMPENG","Condominium","05","OCR","99 years leasehold","New Sale","1","1294000","-","87","Strata","26 to 30","14874","Jul-2016"
"7","THE TRILINQ","JALAN LEMPENG","Condominium","05","OCR","99 years leasehold","New Sale","1","1120000","-","65","Strata","26 to 30","17231","Jul-2016"
"8","PRINCIPAL GARDEN","PRINCE CHARLES CRESCENT","Condominium","03","RCR","99 years leasehold","New Sale","1","1796000","1788000","100","Strata","16 to 20","17880","Jul-2016"
"9","HIGHLINE RESIDENCES","KIM TIAN ROAD","Condominium","03","RCR","99 years leasehold","New Sale","1","1640000","-","84","Strata","21 to 25","19524","Jul-2016"
"10","PRINCIPAL GARDEN","PRINCE CHARLES CRESCENT","Condominium","03","RCR","99 years leasehold","New Sale","1","869000","861000","47","Strata","11 to 15","18319","Jul-2016"
"11","PRINCIPAL GARDEN","PRINCE CHARLES CRESCENT","Condominium","03","RCR","99 years leasehold","New Sale","1","1807000","1799000","111","Strata","11 to 15","16207","Jul-2016"
"12","PRINCIPAL GARDEN","PRINCE CHARLES CRESCENT","Condominium","03","RCR","99 years leasehold","New Sale","1","1382000","1374000","80","Strata","16 to 20","17175","Jul-2016"
"13","TWIN REGENCY","KIM TIAN ROAD","Condominium","03","RCR","Freehold","Resale","1","1620000","-","91","Strata","31 to 35","17802","Jul-2016"
"14","PRINCIPAL GARDEN","PRINCE CHARLES CRESCENT","Condominium","03","RCR","99 years leasehold","New Sale","1","1297000","1289000","73","Strata","11 to 15","17658","Jul-2016"
"15","THE PARC CONDOMINIUM","WEST COAST WALK","Condominium","05","OCR","Freehold","Resale","1","1480000","-","113","Strata","11 to 15","13097","Jul-2016"
"16","ONE-NORTH RESIDENCES","ONE-NORTH GATEWAY","Apartment","05","RCR","99 yrs lease commencing from 2005","Resale","1","1378000","-","96","Strata","06 to 10","14354","Jul-2016"
"17","VISTA PARK","SOUTH BUONA VISTA ROAD","Condominium","05","RCR","99 yrs lease commencing from 1979","Resale","1","720000","-","88","Strata","01 to 05","8182","Jul-2016"
"18","THE INTERLACE","DEPOT ROAD","Condominium","04","RCR","99 yrs lease commencing from 2009","Resale","1","2764000","-","232","Strata","01 to 05","11914","Jul-2016"
