"URBAN REDEVELOPMENT AUTHORITY - PRIVATE RESIDENTIAL PROPERTY TRANSACTIONS WITH CAVEATS LODGED OR OPTIONS ISSUED"

"S/N","Project Name","Street Name","Type","Postal District","Market Segment","Tenure","Type of Sale","No. of Units","Price ($)","Nett Price ($)","Area (Sqm)","Type of Area","Floor Level","Unit Price ($psm)","Date of Sale"
"1","OASIS GARDEN","JALAN BUNGA RAMPAI","Condominium","19","RCR","Freehold","Resale","1","1260000","-","115","Strata","06 to 10","10957","Jul-2016"
"2","THE MARBELLA","MOUNT SINAI RISE","Condominium","10","CCR","Freehold","Resale","1","2300000","-","147","Strata","01 to 05","15646","Jul-2016"
"3","MODA","EAST COAST ROAD","Apartment","15","RCR","Freehold","Resale","1","850000","-","60","Strata","06 to 10","14167","Jul-2016"
"4","MANDARIN GARDEN CONDOMINIUM","SIGLAP ROAD","Condominium","15","OCR","99 yrs lease commencing from 1982","Resale","1","1455000","-","146","Strata","16 to 20","9966","Jul-2016"
"5","MELROSE PARK","KELLOCK ROAD","Condominium","10","CCR","999 yrs lease commencing from 1877","Resale","1","2230000","-","120","Strata","01 to 05","18583","Jul-2016"
"6","THE QUARTZ","COMPASSVALE BOW","Condominium","19","OCR","99 yrs lease commencing from 2005","Resale","1","1140000","-","111","Strata","01 to 05","10270","Jul-2016"
"7","BOTANIQUE AT BARTLEY","UPPER PAYA LEBAR ROAD","Condominium","19","OCR","99 years leasehold","New Sale","1","1410000","-","96","Strata","11 to 15","14688","Jul-2016"
"8","KINGSFORD WATERBAY","UPPER SERANGOON VIEW","Apartment","19","OCR","99 years leasehold","New Sale","1","1080000","-","99","Strata","16 to 20","10909","Jul-2016"
"9","GRAMERCY PARK","GRANGE ROAD","Condominium","10","CCR","Freehold","New Sale","1","3674400","-","119","Strata","16 to 20","30877","Jul-2016"
"10","GRAMERCY PARK","GRANGE ROAD","Condominium","10","CCR","Freehold","New Sale","1","3624800","-","118","Strata","16 to 20","30719","Jul-2016"
"11","STARS OF KOVAN","UPPER SERANGOON ROAD","Apartment","19","OCR","99 years leasehold","New Sale","1","709700","-","47","Strata","01 to 05","15100","Jul-2016"
"12","STARS OF KOVAN","UPPER SERANGOON ROAD","Apartment","19","OCR","99 years leasehold","New Sale","1","718160","-","47","Strata","11 to 15","15280","Jul-2016"
"13","STARS OF KOVAN","UPPER SERANGOON ROAD","Apartment","19","OCR","99 years leasehold","New Sale","1","1007680","-","73","Strata","01 to 05","13804","Jul-2016"
"14","SANT RITZ","PHENG GECK AVENUE","Condominium","13","RCR","99 years leasehold","New Sale","1","1340000","-","89","Strata","16 to 20","15056","Jul-2016"
"15","SANT RITZ","PHENG GECK AVENUE","Condominium","13","RCR","99 years leasehold","New Sale","1","1320888","-","89","Strata","16 to 20","14841","Jul-2016"
"16","KINGSFORD WATERBAY","UPPER SERANGOON VIEW","Apartment","19","OCR","99 years leasehold","New Sale","1","795000","-","63","Strata","01 to 05","12619","Jul-2016"
"17","STARS OF KOVAN","UPPER SERANGOON ROAD","Apartment","19","OCR","99 years leasehold","New Sale","1","724740","-","47","Strata","06 to 10","15420","Jul-2016"
"18","GRAMERCY PARK","GRANGE ROAD","Condominium","10","CCR","Freehold","New Sale","1","3471880","-","118","Strata","11 to 15","29423","Jul-2016"
"19","GRAMERCY PARK","GRANGE ROAD","Condominium","10","CCR","Freehold","New Sale","1","3544800","-","118","Strata","16 to 20","30041","Jul-2016"
"20","THE POIZ RESIDENCES","MEYAPPA CHETTIAR ROAD","Apartment","13","RCR","99 years leasehold","New Sale","1","631000","-","39","Strata","06 to 10","16179","Jul-2016"
"21","STARS OF KOVAN","UPPER SERANGOON ROAD","Apartment","19","OCR","99 years leasehold","New Sale","1","1029300","-","68","Strata","01 to 05","15137","Jul-2016"
"22","BOTANIQUE AT BARTLEY","UPPER PAYA LEBAR ROAD","Condominium","19","OCR","99 years leasehold","New Sale","1","882000","-","61","Strata","16 to 20","14459","Jul-2016"
"23","THE MEYERISE","MEYER ROAD","Condominium","15","RCR","Freehold","Resale","1","2549000","-","118","Strata","26 to 30","21602","Jul-2016"
"24","NATHAN SUITES","NATHAN ROAD","Condominium","10","CCR","Freehold","Resale","1","3000000","-","134","Strata","21 to 25","22388","Jul-2016"
"25","THE TESSARINA","WILBY ROAD","Condominium","10","CCR","Freehold","Resale","1","1450000","-","92","Strata","06 to 10","15761","Jul-2016"
"26","TIERRA VUE","ST. PATRICK'S ROAD","Condominium","15","OCR","Freehold","Resale","1","1800000","-","118","Strata","01 to 05","15254","Jul-2016"
"27","THE MINTON","HOUGANG STREET 11","Condominium","19","OCR","99 yrs lease commencing from 2007","Resale","1","935000","-","91","Strata","01 to 05","10275","Jul-2016"
"28","D'SUNRISE","JOO CHIAT LANE","Apartment","15","RCR","Freehold","Resale","1","750000","-","62","Strata","01 to 05","12097","Jul-2016"
"29","TERRASSE","TERRASSE LANE","Condominium","19","OCR","99 yrs lease commencing from 2010","Resale","1","1300000","-","105","Strata","01 to 05","12381","Jul-2016"
